wisid                                            ,school                                                     ,location                 ,latitude    ,longitude    , , ,
49079                                            ,Abilene Christian University                               ,"Abilene, TX"            ,32.4699728  ,-99.70735955 , , ,
49459                                            ,Adams State College                                        ,"Alamosa, CO"            ,37.4741527  ,-105.8818992 , , ,
49195                                            ,Adrian College                                             ,"Adrian, MI"             ,41.89849465 ,-84.06083279 , , ,
49048                                            ,Alabama A&M University                                     ,"Normal, AL"             ,34.7842987  ,-86.57013044 , , ,
49049                                            ,Alabama State University                                   ,"Montgomery, AL"         ,32.3638914  ,-86.29566779 , , ,
49477                                            ,Albany State University                                    ,"Albany, GA"             ,31.5678798  ,-84.14057937 , , ,
49196                                            ,Albion College                                             ,"Albion, MI"             ,42.2437255  ,-84.74290095 , , ,
49324                                            ,Albright College                                           ,"Reading, PA"            ,40.3609263  ,-75.9096509  , , ,
49050                                            ,Alcorn State University                                    ,"Alcorn State, MS"       ,31.8767495  ,-91.1417967  , , ,
49142                                            ,Alfred University                                          ,"Alfred, NY"             ,42.255862   ,-77.78570871 , , ,
49231                                            ,Allegheny College                                          ,"Meadville, PA"          ,41.6492228  ,-80.1478379  , , ,
49197                                            ,Alma College                                               ,"Alma, MI"               ,43.38135085 ,-84.67131152 , , ,
49486                                            ,American International College                             ,"Springfield, MA"        ,42.11339535 ,-72.55728564 , , ,
49207                                            ,Amherst College                                            ,"Amherst, MA"            ,42.37029465 ,-72.51605459 , , ,Manchester College
49250                                            ,Anderson University (Indiana)                              ,"Anderson, IN"           ,40.11455395 ,-85.66071898 , , ,Concord College
49080                                            ,Angelo State University                                    ,"San Angelo, TX"         ,31.43783815 ,-100.4545073 , , ,Methodist College
49036                                            ,Appalachian State University                               ,"Boone, NC"              ,36.21250185 ,-81.68510066 , , ,
48968                                            ,Arizona State University                                   ,"Tempe, AZ"              ,33.42152185 ,-111.9331616 , , ,
48986                                            ,Arkansas State University                                  ,"Jonesboro, AR"          ,35.843356   ,-90.67439086 , , ,
49061                                            ,Arkansas Tech University                                   ,"Russellville, AR"       ,35.2950838  ,-93.1335078  , , ,
49518                                            ,Ashland University                                         ,"Ashland, OH"            ,40.8615854  ,-82.32182645 , , ,
49492                                            ,Assumption College                                         ,"Worcester, MA"          ,42.2953528  ,-71.82964377 , , ,
48980                                            ,Auburn University                                          ,"Auburn, AL"             ,32.591963   ,-85.49598607 , , ,
49558                                            ,Augsburg College                                           ,"Minneapolis, MN"        ,44.9662364  ,-93.24110466 , , ,
49097                                            ,Augustana College                                          ,"Sioux Falls, SD"        ,43.5240975  ,-96.73873358 , , ,
49181                                            ,Augustana College (Illinois)                               ,"Rock Island, IL"        ,41.50275805 ,-90.55059793 , , ,
49147                                            ,Aurora University                                          ,"Aurora, IL"             ,41.75453445 ,-88.34949984 , , ,
49307                                            ,Austin College                                             ,"Sherman, TX"            ,33.64713745 ,-96.59793447 , , ,
49407                                            ,Austin Peay State University                               ,"Clarksville, TN"        ,36.53429655 ,-87.35430854 , , ,
49267                                            ,Averett University                                         ,"Danville, VA"           ,36.5789301  ,-79.41452052 , , ,
49533                                            ,Baldwin-Wallace College                                    ,"Berea, OH"              ,41.37163535 ,-81.84849031 , , ,
49385                                            ,Ball State University                                      ,"Muncie, IN"             ,40.20978805 ,-85.41120882 , , ,
49213                                            ,Bates College                                              ,"Lewiston, ME"           ,44.1060827  ,-70.20232209 , , ,
49172                                            ,Baylor University                                          ,"Waco, TX"               ,31.55043405 ,-97.11029056 , , ,
49336                                            ,Beloit College                                             ,"Beloit, WI"             ,42.5009819  ,-89.01577774 , , ,
49498                                            ,Bemidji State University                                   ,"Bemidji, MN"            ,47.4850208  ,-94.87407843 , , ,
49478                                            ,Benedict College                                           ,"Columbia, SC"           ,34.01396275 ,-81.02097289 , , ,
49177                                            ,Benedictine University (Illinois)                          ,"Lisle, IL"              ,41.7779976  ,-88.09699356 , , ,
49487                                            ,Bentley College                                            ,"Waltham, MA"            ,45.34604135 ,-75.73196015 , , ,
49567                                            ,Bethany College (West Virginia)                            ,"Bethany, WV"            ,40.205627   ,-80.5606275  , , ,
49559                                            ,Bethel College (Minnesota)                                 ,"St. Paul, MN"           ,45.4038532  ,-93.2677285  , , ,
49418                                            ,Bethune-Cookman College                                    ,"Daytona Beach, FL"      ,29.21185355 ,-81.0319825  , , ,
49532                                            ,Blackburn College                                          ,"Carlinville, IL"        ,39.2886591  ,-89.8706547  , , ,
49110                                            ,Bloomsburg University of Pennsylvania                      ,"Bloomsburg, PA"         ,41.00889635 ,-76.44714038 , , ,
49251                                            ,Bluffton College                                           ,"Bluffton, OH"           ,40.8965715  ,-83.89964804 , , ,
48999                                            ,Boise State University                                     ,"Boise, ID"              ,43.6047282  ,-116.2039495 , , ,
49160                                            ,Boston College                                             ,"Chestnut Hill, MA"      ,42.3354481  ,-71.16813864 , , ,
49214                                            ,Bowdoin College                                            ,"Brunswick, ME"          ,43.90825    ,-69.96167458 , , ,
49506                                            ,Bowie State University                                     ,"Bowie, MD"              ,39.01839075 ,-76.75942843 , , ,
49381                                            ,Bowling Green State University                             ,"Bowling Green, OH"      ,41.3810557  ,-83.6296737  , , ,
49545                                            ,Bridgewater College (Virginia)                             ,"Bridgewater, VA"        ,38.3772478  ,-78.9715026  , , ,
49201                                            ,Bridgewater State College                                  ,"Bridgewater, MA"        ,41.9903787  ,-70.9750426  , , ,
48967                                            ,Brigham Young University                                   ,"Provo, UT"              ,40.25501105 ,-111.6496566 , , ,
49023                                            ,Brown University                                           ,"Providence, RI"         ,41.82687235 ,-71.40122771 , , ,
49488                                            ,Bryant University                                          ,"Smithfield, RI"         ,41.92209145 ,-71.53715174 , , ,
49031                                            ,Bucknell University                                        ,"Lewisburg, PA"          ,40.9588728  ,-76.88192481 , , ,
49183                                            ,Buena Vista University                                     ,"Storm Lake, IA"         ,42.6405522  ,-95.20970279 , , ,
49225                                            ,Buffalo State College                                      ,"Buffalo, NY"            ,42.9336278  ,-78.88394479 , , ,
49401                                            ,Butler University                                          ,"Indianapolis, IN"       ,39.8407191  ,-86.17374943 , , ,
49311                                            ,California Lutheran University                             ,"Thousand Oaks, CA"      ,34.2266493  ,-118.8785095 , , ,
49448                                            ,California Polytechnic State University                    ,"San Luis Obispo, CA"    ,35.3074623  ,-120.6646483 , , ,
49004                                            ,"California State University, Fresno"                      ,"Fresno, CA"             ,36.81387055 ,-119.7446221 , , ,
49446                                            ,"California State University, Sacramento"                  ,"Sacramento, CA"         ,38.5598752  ,-121.424094  , , ,
