wis_id,school_short,location,coach,,,,
49079,Abilene Christian University,"Abilene, TX",Sim AI,,,,
49459,Adams State College,"Alamosa, CO",Sim AI,,,,
49195,Adrian College,"Adrian, MI",Toad828,,,,
49048,Alabama A&M University,"Normal, AL",Sim AI,,,,
49049,Alabama State University,"Montgomery, AL",Sim AI,,,,
49477,Albany State University,"Albany, GA",Sim AI,,,,
49196,Albion College,"Albion, MI",Sim AI,,,,
49324,Albright College,"Reading, PA",Sim AI,,,,
49050,Alcorn State University,"Alcorn State, MS",Sim AI,,,,
49142,Alfred University,"Alfred, NY",Sim AI,,,,
49231,Allegheny College,"Meadville, PA",Sim AI,,,,
49197,Alma College,"Alma, MI",Sim AI,,,,
49486,American International College,"Springfield, MA",Sim AI,,,,
49207,Amherst College,"Amherst, MA",Sim AI,,,,
49250,Anderson University (Indiana) ,"Anderson, IN",Sim AI,,,,
49080,Angelo State University,"San Angelo, TX",monkeycurse,,,,
49036,Appalachian State University,"Boone, NC",Sim AI,,,,
48968,Arizona State University,"Tempe, AZ",asufan04,,,,
48986,Arkansas State University,"Jonesboro, AR",Sim AI,,,,
49061,Arkansas Tech University,"Russellville, AR",Sim AI,,,,
49518,Ashland University,"Ashland, OH",Sim AI,,,,
49492,Assumption College,"Worcester, MA",SteinerHC99,,,,
48980,Auburn University,"Auburn, AL",davidbengals,,,,
49558,Augsburg College,"Minneapolis, MN",Sim AI,,,,
49097,Augustana College,"Sioux Falls, SD",Sim AI,,,,
49181,Augustana College (Illinois) ,"Rock Island, IL",Sim AI,,,,
49147,Aurora University,"Aurora, IL",Sim AI,,,,
49307,Austin College,"Sherman, TX",jdodge17,,,,
49407,Austin Peay State University,"Clarksville, TN",bjschumacher,,,,
49267,Averett University,"Danville, VA",Sim AI,,,,
49533,Baldwin-Wallace College,"Berea, OH",Sim AI,,,,
49385,Ball State University,"Muncie, IN",Sim AI,,,,
49213,Bates College,"Lewiston, ME",Sim AI,,,,
49172,Baylor University,"Waco, TX",Sim AI,,,,
49336,Beloit College,"Beloit, WI",Sim AI,,,,
49498,Bemidji State University,"Bemidji, MN",Sim AI,,,,
49478,Benedict College,"Columbia, SC",Sim AI,,,,
49177,Benedictine University (Illinois) ,"Lisle, IL",CantTakeItNo,,,,
49487,Bentley College,"Waltham, MA",Sim AI,,,,
49567,Bethany College (West Virginia) ,"Bethany, WV",saw2008,,,,
49559,Bethel College (Minnesota) ,"St. Paul, MN",Sim AI,,,,
49418,Bethune-Cookman College,"Daytona Beach, FL",Sim AI,,,,
49532,Blackburn College,"Carlinville, IL",Sim AI,,,,
49110,Bloomsburg University of Pennsylvania ,"Bloomsburg, PA",tywebb004,,,,
49251,Bluffton College,"Bluffton, OH",Sim AI,,,,
48999,Boise State University,"Boise, ID",AJ_Scarlato,,,,
49160,Boston College,"Chestnut Hill, MA",realist9900,,,,
49214,Bowdoin College,"Brunswick, ME",Sim AI,,,,
49506,Bowie State University,"Bowie, MD",Sim AI,,,,
49381,Bowling Green State University,"Bowling Green, OH",Sim AI,,,,
49545,Bridgewater College (Virginia) ,"Bridgewater, VA",mcully13,,,,
49201,Bridgewater State College,"Bridgewater, MA",Sim AI,,,,
48967,Brigham Young University,"Provo, UT",Sim AI,,,,
49023,Brown University,"Providence, RI",Sim AI,,,,
49488,Bryant University,"Smithfield, RI",Sim AI,,,,
49031,Bucknell University,"Lewisburg, PA",Sim AI,,,,
49183,Buena Vista University,"Storm Lake, IA",Sim AI,,,,
49225,Buffalo State College,"Buffalo, NY",Sim AI,,,,
49401,Butler University,"Indianapolis, IN",nlewis_02,,,,
49311,California Lutheran University,"Thousand Oaks, CA",Sim AI,,,,
49448,California Polytechnic State University,"San Luis Obispo, CA",Sim AI,,,,
49004,"California State University, Fresno","Fresno, CA",laworog,,,,
49446,"California State University, Sacramento","Sacramento, CA",Sim AI,,,,
49116,California University of Pennsylvania,"California, PA",tdfactory,,,,
49534,Capital University,"Columbus, OH",Sim AI,,,,
49564,Carleton College,"Northfield, MN",htbaxter,,,,
