wisid,record,conference,coach,division,location
53612,4-9,LSC,Sim AI,D-II,"Abilene, TX"
53385,8-5,RMAC,Sim AI,D-II,"Alamosa, CO"
53300,2-11,SWAC,Sim AI,D-IAA,"Normal, AL"
53301,3-10,SWAC,Sim AI,D-IAA,"Montgomery, AL"
53690,7-6,MIAA,Sim AI,D-III,"Albion, MI"
53701,9-5,MAC,Sim AI,D-III,"Reading, PA"
53302,2-11,SWAC,Sim AI,D-IAA,"Alcorn State, MS"
53773,1-12,NCAC,Sim AI,D-III,"Meadville, PA"
53691,9-4,MIAA,Sim AI,D-III,"Alma, MI"
53343,5-8,NE-10,Sim AI,D-II,"Springfield, MA"
53749,7-6,NESCAC,Sim AI,D-III,"Amherst, MA"
53493,5-8,PAC-10,Sim AI,D-IA,"Tempe, AZ"
53349,5-8,NE-10,Sim AI,D-II,"Worcester, MA"
53248,1-12,SEC,Sim AI,D-IA,"Auburn, AL"
53725,7-6,MIAC,Sim AI,D-III,"Minneapolis, MN"
53331,9-4,NCC,Sim AI,D-II,"Sioux Falls, SD"
53675,2-11,IBFC,Sim AI,D-III,"Rock Island, IL"
53665,4-9,IBFC,Sim AI,D-III,"Aurora, IL"
53582,4-9,PFL,Sim AI,D-IAA,"Clarksville, TN"
53833,6-7,USA South,Sim AI,D-III,"Danville, VA"
53485,3-10,MAC,Sim AI,D-IA,"Muncie, IN"
53755,4-9,NESCAC,Sim AI,D-III,"Lewiston, ME"
53438,3-10,Big 12,Sim AI,D-IA,"Waco, TX"
53355,4-9,NSIC,Sim AI,D-II,"Bemidji, MN"
53671,3-10,IBFC,Sim AI,D-III,"Lisle, IL"
53734,3-10,MIAC,Sim AI,D-III,"Bethany, WV"
53546,7-6,MEAC,Sim AI,D-IAA,"Daytona Beach, FL"
53796,7-6,NWC,Sim AI,D-III,"Carlinville, IL"
53367,5-8,PSAC,Sim AI,D-II,"Bloomsburg, PA"
53817,9-5,ODAC,Sim AI,D-III,"Bluffton, OH"
53267,4-9,WAC,Sim AI,D-IA,"Boise, ID"
53689,15-1,MIAA,dab205,D-III,"Adrian, MI"
53403,4-9,SIAC,peteskin,D-II,"Albany, GA"
53660,12-3,FFBC,covman2003,D-III,"Alfred, NY"
53816,5-8,ODAC,DL21,D-III,"Anderson, IN"
53613,14-2,LSC,holdaway,D-II,"San Angelo, TX"
53288,15-1,SoCon,quelch,D-IAA,"Boone, NC"
53254,10-4,Sun Belt,chall23x1,D-IA,"Jonesboro, AR"
53594,8-5,GSC,gskyrme,D-II,"Russellville, AR"
53324,7-6,GLIAC,bstevens07,D-II,"Ashland, OH"
53635,8-5,ASC,stone7365,D-III,"Sherman, TX"
53797,7-6,OAC,modernameric,D-III,"Berea, OH"
53713,13-3,MWC,wiredon65,D-III,"Beloit, WI"
53404,6-7,SIAC,teyraen,D-II,"Columbia, SC"
53344,12-2,NE-10,Goonboggler,D-II,"Waltham, MA"
53426,13-1,ACC,tcochran,D-IA,"Chestnut Hill, MA"
53756,5-8,NESCAC,Sim AI,D-III,"Brunswick, ME"
53312,10-5,CIAA,Sim AI,D-II,"Bowie, MD"
53481,5-8,MAC,Sim AI,D-IA,"Bowling Green, OH"
53809,2-11,ODAC,Sim AI,D-III,"Bridgewater, VA"
53743,8-5,NEFC,Sim AI,D-III,"Bridgewater, MA"
53528,4-9,Ivy,Sim AI,D-IAA,"Providence, RI"
53345,7-6,NE-10,Sim AI,D-II,"Smithfield, RI"
53536,5-8,Ivy,Sim AI,D-IAA,"Lewisburg, PA"
53677,11-3,IIAC,Sim AI,D-III,"Storm Lake, IA"
53767,8-5,NJAC,Sim AI,D-III,"Buffalo, NY"
53576,6-7,PFL,Sim AI,D-IAA,"Indianapolis, IN"
53639,3-10,ASC,Sim AI,D-III,"Thousand Oaks, CA"
53506,2-11,Big Sky,Sim AI,D-IAA,"San Luis Obispo, CA"
53272,3-10,WAC,Sim AI,D-IA,"Fresno, CA"
53856,6-7,WIAC,Sim AI,D-III,"Kenosha, WI"
53784,11-3,NCAC,Sim AI,D-III,"Cleveland, OH"
53392,6-7,SAC,Sim AI,D-II,"Salisbury, NC"
53810,8-5,ODAC,Sim AI,D-III,"Washington, DC"
53678,7-6,IIAC,Sim AI,D-III,"Pella, IA"
53558,2-11,NEC,Sim AI,D-IAA,"New Britain, CT"
53486,5-8,MAC,Sim AI,D-IA,"Mount Pleasant, MI"
53339,5-8,NCC,Sim AI,D-II,"Ellensburg, WA"
53821,4-9,SCAC,Sim AI,D-III,"Danville, KY"
53379,5-8,RMAC,Sim AI,D-II,"Chadron, NE"
53768,4-9,NJAC,Sim AI,D-III,"Orange, CA"
53586,5-8,PFL,Sim AI,D-IAA,"Charleston, SC"
53839,7-6,USA South,Sim AI,D-III,"Murfreesboro, NC"
53834,6-7,USA South,Sim AI,D-III,"Newport News, VA"
53374,6-7,PSAC,Sim AI,D-II,"Clarion, PA"
53683,11-2,IIAC,Sim AI,D-III,"Cedar Rapids, IA"
53750,4-9,NESCAC,Sim AI,D-III,"Waterville, ME"
53537,4-9,Ivy,Sim AI,D-IAA,"Hamilton, NY"
53807,5-8,OAC,Sim AI,D-III,"Cincinnati, OH"
53538,4-9,Ivy,Sim AI,D-IAA,"Worcester, MA"
53774,5-8,NCAC,Sim AI,D-III,"Wooster, OH"
53380,6-7,RMAC,Sim AI,D-II,"Golden, CO"
53450,5-8,Big East,Sim AI,D-IA,"Fort Collins, CO"
53529,7-6,Ivy,Sim AI,D-IAA,"New York, NY"
53353,4-9,NE-10,Sim AI,D-II,"Athens, WV"
53727,0-13,MIAC,Sim AI,D-III,"Moorhead, MN"
53672,5-8,IBFC,Sim AI,D-III,"River Forest, IL"
53666,1-12,IBFC,Sim AI,D-III,"Mequon, WI"
53361,9-4,NSIC,Sim AI,D-II,"Concordia, MN"
53684,5-8,IIAC,Sim AI,D-III,"Mt. Vernon, IA"
53534,5-8,Ivy,Sim AI,D-IAA,"Ithaca, NY"
53504,15-2,Big Sky,zerfo,D-IAA,"Sacramento, CA"
53373,13-3,PSAC,plk311,D-II,"California, PA"
53798,9-4,OAC,Ukie94,D-III,"Columbus, OH"
53731,12-4,MIAC,htbaxter,D-III,"Northfield, MN"
53783,13-2,NCAC,samM90,D-III,"Pittsburgh, PA"
53719,7-6,MWC,grobbins,D-III,"Waukesha, WI"
53391,15-1,SAC,westolla,D-II,"Jefferson City, TN"
53618,14-3,MIAA,S_Cottrell23,D-II,"Warrensburg, MO"
53330,16-1,MIAA,theRobHatfie,D-II,"Cheyney, PA"
53409,9-5,SIAC,groundnpound,D-II,"Atlanta, GA"
53415,10-4,ACC,tenaciousdx,D-IA,"Clemson, SC"
53587,10-4,PFL,abdfl,D-IAA,"Conway, SC"
